SEQENCE ID                     TM SP PREDICTION
GLOROS_000065-T1                6  0 i21-44o50-75i96-119o145-170i182-204o216-240i
GLOROS_000066-T1                0  0 o
GLOROS_000067-T1                0  Y n9-19c24/25o
GLOROS_000068-T1                0  0 o
GLOROS_000068-T2                0  0 o
GLOROS_000068-T3                0  0 o
GLOROS_000069-T1                0  0 o
GLOROS_000069-T2                0  0 o
GLOROS_000069-T3                0  0 o
GLOROS_000070-T1                0  0 o
GLOROS_000071-T1                0  0 o
GLOROS_000072-T1                3  0 o31-56i77-101o113-135i
GLOROS_000073-T1                0  0 o
GLOROS_000074-T1                0  Y n7-15c20/21o
GLOROS_000075-T1                0  0 o
GLOROS_000076-T1                6  0 o20-43i55-76o96-122i134-154o184-201i222-239o
GLOROS_000077-T1                0  Y n9-20c25/26o
GLOROS_000078-T1                1  0 i183-215o
GLOROS_000079-T1                0  Y n3-14c19/20o
GLOROS_000080-T1                0  0 i
GLOROS_000081-T1                0  0 o
GLOROS_000082-T1                0  0 o
GLOROS_000083-T1                3  0 o12-33i67-87o99-124i
GLOROS_000084-T1                0  0 o
GLOROS_000085-T1                0  0 o
GLOROS_000086-T1                0  0 o
GLOROS_000087-T1                1  0 o182-204i
GLOROS_000088-T1                0  0 o
GLOROS_000089-T1                0  0 o
GLOROS_000090-T1                0  0 o
GLOROS_000091-T1                0  0 o
GLOROS_000092-T1                0  0 o
GLOROS_000093-T1               12  0 i38-65o121-140i147-167o173-195i207-228o240-259i303-325o345-365i377-395o401-422i434-459o471-490i
GLOROS_000093-T2               12  0 i38-65o121-140i147-167o173-195i207-228o240-259i303-325o345-365i377-395o401-422i434-459o471-490i
GLOROS_000094-T1                0  0 o
GLOROS_000095-T1                0  0 o
GLOROS_000096-T1                0  0 o
GLOROS_000097-T1                3  0 o6-22i34-64o76-95i
GLOROS_000098-T1                0  Y n8-19c24/25o
GLOROS_000099-T1                0  0 o
GLOROS_000099-T2                0  0 o
GLOROS_000100-T1                0  0 i
GLOROS_000101-T1               10  0 i79-98o118-137i158-176o182-202i209-229o335-355i367-387o407-429i436-454o460-478i
GLOROS_000102-T1                0  0 o
GLOROS_000103-T1                7  0 o12-36i48-66o98-120i132-153o192-216i257-277o297-320i
GLOROS_000104-T1                0  0 o
GLOROS_000104-T2                0  0 i
GLOROS_000104-T3                0  0 i
GLOROS_000105-T1                0  0 o
GLOROS_000105-T2                0  0 o
GLOROS_000106-T1                7  0 o16-43i55-72o78-97i152-175o195-221i242-268o280-304i
GLOROS_000107-T1                0  0 o
GLOROS_000107-T2                0  0 o
GLOROS_000108-T1                3  0 o6-22i34-63o75-95i
GLOROS_000109-T1                3  0 o12-38i58-82o94-113i
GLOROS_000110-T1                0  0 o
GLOROS_000110-T2                0  0 o
GLOROS_000110-T3                0  0 o
GLOROS_000111-T1                0  0 o
GLOROS_000112-T1               12  0 i20-42o54-75i87-107o113-138i150-170o176-200i261-283o303-321i328-350o356-381i402-421o427-445i
GLOROS_000112-T2                2  0 i7-26o32-50i
GLOROS_000112-T3                9  0 i20-42o54-75i87-107o113-138i150-170o176-200i261-283o303-321i328-350o
GLOROS_000113-T1                0  0 o
GLOROS_000114-T1                3  0 i102-123o135-153i165-187o
GLOROS_000115-T1                3  0 o6-22i42-68o80-99i
GLOROS_000116-T1                0  0 o
GLOROS_000117-T1                0  0 o
GLOROS_000118-T1                1  0 i12-32o
GLOROS_000118-T2                1  0 i24-44o
GLOROS_000119-T1                1  0 o48-73i
GLOROS_000120-T1                5  0 o20-46i66-94o114-144i165-188o200-220i
GLOROS_000121-T1                1  Y n3-14c22/23o244-265i
GLOROS_000121-T2                1  Y n3-14c22/23o246-267i
GLOROS_000122-T1                1  0 o179-197i
GLOROS_000123-T1                0  Y n7-18c22/23o
GLOROS_000124-T1                0  0 i
GLOROS_000125-T1                1  0 o6-29i
GLOROS_000126-T1                0  0 o
GLOROS_000126-T2                0  0 o
GLOROS_000127-T1                0  0 o
GLOROS_000128-T1                0  0 o
GLOROS_000129-T1                0  0 o
GLOROS_000130-T1                0  0 o
GLOROS_000130-T2                0  0 o
GLOROS_000130-T3                0  0 o
GLOROS_000131-T1                7  0 i21-43o55-71i92-124o130-149i192-210o216-234i266-284o
GLOROS_000132-T1                3  0 o6-22i34-63o75-94i
GLOROS_000133-T1                0  0 o
GLOROS_000133-T2                0  0 o
GLOROS_000134-T1                0  0 o
GLOROS_000135-T1                1  0 o227-244i
GLOROS_000135-T2                0  0 o
GLOROS_000136-T1                0  0 o
GLOROS_000136-T2                0  0 o
GLOROS_000137-T1                0  Y n4-15c21/22o
GLOROS_000137-T2                0  0 o
GLOROS_000138-T1                0  0 o
GLOROS_000139-T1                0  Y n4-15c21/22o
GLOROS_000140-T1                0  0 i
GLOROS_000141-T1                0  0 o
GLOROS_000141-T2                0  0 o
GLOROS_000142-T1                0  0 o
GLOROS_000143-T1                0  Y n4-15c21/22o
GLOROS_000144-T1                0  0 o
GLOROS_000145-T1                0  Y n3-14c19/20o
GLOROS_000145-T2                0  Y n3-14c19/20o
GLOROS_000146-T1                0  Y n11-18c36/37o
GLOROS_000146-T2                0  0 o
GLOROS_000147-T1                0  0 o
GLOROS_000147-T2                0  0 o
GLOROS_000148-T1                2  0 i20-42o54-76i
GLOROS_000149-T1                0  0 i
GLOROS_000150-T1                0  0 o
GLOROS_000151-T1                0  0 o
GLOROS_000152-T1                0  0 o
GLOROS_000153-T1                0  0 o
GLOROS_000153-T2                0  0 o
GLOROS_000154-T1                4  0 i21-43o49-73i85-105o111-132i
GLOROS_000155-T1                4  0 i12-31o150-172i179-200o206-229i
GLOROS_000156-T1                0  Y n5-14c19/20o
GLOROS_000157-T1                0  0 o
GLOROS_000158-T1                0  0 o
GLOROS_000159-T1                0  0 o
GLOROS_000160-T1                0  0 o
GLOROS_000161-T1                0  0 o
GLOROS_000162-T1                0  0 o
GLOROS_000163-T1                0  0 o
GLOROS_000164-T1                0  0 o
GLOROS_000165-T1                2  0 i60-80o92-113i
GLOROS_000166-T1                0  0 o
GLOROS_000166-T2                0  0 o
GLOROS_000167-T1                0  0 o
GLOROS_000168-T1                1  0 o83-102i
GLOROS_000169-T1                0  0 o
GLOROS_000170-T1                0  0 i
GLOROS_000171-T1                1  0 i27-50o
GLOROS_000172-T1                0  0 o
GLOROS_000173-T1                0  Y n4-14c18/19o
GLOROS_000173-T2                0  Y n4-14c18/19o
GLOROS_000174-T1                0  0 o
GLOROS_000175-T1                0  0 o
GLOROS_000176-T1                0  Y n4-15c23/24o
GLOROS_000177-T1                0  0 o
GLOROS_000178-T1                2  0 o17-36i134-152o
GLOROS_000178-T2                0  0 o
GLOROS_000179-T1                0  0 i
GLOROS_000180-T1                0  0 o
GLOROS_000181-T1                1  0 o6-30i
GLOROS_000182-T1                5  0 o15-43i55-75o87-109i148-167o179-201i
GLOROS_000182-T2                7  0 o15-43i55-80o92-114i134-153o165-187i226-245o257-279i
GLOROS_000183-T1                0  0 o
GLOROS_000184-T1                0  0 o
GLOROS_000185-T1                7  0 o20-46i58-83o95-117i137-156o168-190i229-248o260-282i
GLOROS_000185-T2                5  0 o20-46i58-78o90-112i151-170o182-204i
GLOROS_000186-T1                8  0 i67-89o101-121i151-170o196-225i280-302o308-330i361-385o391-409i
GLOROS_000187-T1                0  0 o
GLOROS_000188-T1                2  0 o32-52i64-85o
GLOROS_000189-T1                2  0 i21-49o61-81i
GLOROS_000189-T2                2  0 i21-49o61-81i
GLOROS_000190-T1                0  Y n4-15c19/20o
GLOROS_000190-T2                0  Y n4-15c19/20o
GLOROS_000191-T1                0  Y n3-8c16/17o
GLOROS_000191-T2                0  Y n3-8c16/17o
GLOROS_000192-T1                0  0 o
GLOROS_000192-T2                0  0 o
GLOROS_000193-T1                0  Y n4-14c19/20o
GLOROS_000193-T2                0  0 o
GLOROS_000194-T1                0  0 o
GLOROS_000195-T1                0  0 o
GLOROS_000196-T1                0  0 o
GLOROS_000197-T1                0  0 o
GLOROS_000198-T1                1  0 o6-30i
GLOROS_000199-T1                0  0 o
GLOROS_000200-T1                2  0 i57-75o87-111i
GLOROS_000201-T1                0  0 o
GLOROS_000202-T1                0  0 o
GLOROS_000203-T1                0  Y n6-14c19/20o
GLOROS_000204-T1                0  0 o
GLOROS_000205-T1                7  0 o26-50i62-86o92-117i138-159o184-205i226-251o263-285i
GLOROS_000206-T1                4  0 i259-280o329-349i406-430o450-475i
GLOROS_000207-T1                3  0 o85-108i136-160o246-271i
GLOROS_000208-T1                7  0 o31-58i78-100o120-141i153-175o205-223i296-320o340-360i
GLOROS_000208-T2                5  0 o31-58i78-100o120-141i153-175o205-223i
GLOROS_000208-T3                2  0 i43-67o87-107i
GLOROS_000209-T1                0  0 o
GLOROS_000210-T1                0  Y n2-13c18/19o
GLOROS_000211-T1                0  Y n5-12c16/17o
GLOROS_000212-T1                3  0 o20-44i65-89o95-120i
GLOROS_000213-T1               13  0 o28-52i64-82o88-108i132-155o161-183i190-207o232-254i294-314o334-356i368-388o400-419i431-449o469-492i
GLOROS_000213-T2               13  0 o28-52i64-82o88-108i132-155o161-183i190-207o232-254i294-314o334-356i368-388o400-419i431-449o469-492i
GLOROS_000214-T1                0  0 i
GLOROS_000215-T1                0  0 o
GLOROS_000216-T1                1  0 o6-27i
GLOROS_000216-T2                0  Y n3-14c22/23o
GLOROS_000217-T1                6  Y n6-11c16/17o26-48i60-85o97-118i197-214o245-266i278-297o
GLOROS_000218-T1                0  Y n3-13c18/19o
GLOROS_000218-T2                0  Y n3-13c18/19o
GLOROS_000219-T1               12  0 i12-34o46-65i86-109o140-161i173-193o213-231i243-267o296-318i339-357o363-385i397-420o426-445i
GLOROS_000220-T1                0  Y n2-10c15/16o
GLOROS_000221-T1                0  Y n4-12c17/18o
GLOROS_000222-T1                4  0 i7-31o51-75i95-114o126-153i
GLOROS_000223-T1                0  0 o
GLOROS_000224-T1                0  0 o
GLOROS_000225-T1                6  0 i25-54o66-86i98-117o123-144i156-181o187-209i
GLOROS_000226-T1                1  Y n7-18c23/24o59-78i
GLOROS_000227-T1                1  Y n6-17c21/22o82-101i
GLOROS_000227-T2                1  Y n6-17c21/22o83-102i
GLOROS_000228-T1                0  Y n6-16c21/22o
GLOROS_000229-T1                0  Y n5-18c23/24o
GLOROS_000230-T1                0  0 o
GLOROS_000231-T1                0  0 o
GLOROS_000231-T2                0  0 o
GLOROS_000232-T1                1  0 i45-64o
GLOROS_000233-T1                0  Y n3-14c19/20o
GLOROS_000234-T1                1  0 i128-148o
GLOROS_000234-T2                1  0 i79-99o
GLOROS_000235-T1                0  Y n8-19c27/28o
GLOROS_000236-T1                0  Y n4-15c20/21o
GLOROS_000237-T1                7  0 o14-34i46-68o88-112i132-151o183-209i230-253o265-287i
GLOROS_000238-T1                0  0 o
GLOROS_000239-T1                0  Y n7-18c22/23o
GLOROS_000239-T2                0  0 o
GLOROS_000240-T1                0  0 o
GLOROS_000241-T1                0  0 o
GLOROS_000242-T1                0  Y n18-28c33/34o
GLOROS_000243-T1                0  0 o
GLOROS_000246-T1                0  Y n7-16c20/21o
GLOROS_000246-T2                0  Y n7-16c20/21o
GLOROS_000247-T1                0  0 o
GLOROS_000248-T1                0  0 o
GLOROS_000248-T2                0  0 o
GLOROS_000249-T1                0  0 o
GLOROS_000250-T1                0  0 o
GLOROS_000251-T1                0  0 o
GLOROS_000251-T2                0  0 o
GLOROS_000252-T1                0  Y n10-22c27/28o
GLOROS_000253-T1                0  0 o
GLOROS_000254-T1                0  0 o
GLOROS_000255-T1                0  0 o
GLOROS_000256-T1                1  0 o12-33i
GLOROS_000257-T1                0  0 o
GLOROS_000258-T1                0  0 o
GLOROS_000259-T1                0  0 o
GLOROS_000260-T1                0  0 o
GLOROS_000260-T2                0  0 o
GLOROS_000261-T1                1  0 o20-38i
GLOROS_000262-T1                5  Y n16-23c32/33o404-427i434-456o476-496i508-530o536-556i
GLOROS_000262-T2                5  Y n16-23c32/33o412-435i442-464o484-504i516-538o544-564i
GLOROS_000262-T3                0  Y n16-23c32/33o
GLOROS_000263-T1                1  0 i80-102o
GLOROS_000264-T1                0  0 o
GLOROS_000265-T1                0  0 o
GLOROS_000266-T1                0  0 o
GLOROS_000267-T1                0  0 o
GLOROS_000268-T1                0  0 o
GLOROS_000269-T1                0  0 o
GLOROS_000270-T1                0  0 o
GLOROS_000271-T1                0  0 o
GLOROS_000272-T1                0  Y n7-18c22/23o
GLOROS_000273-T1                1  0 o27-48i
GLOROS_000274-T1                0  0 o
GLOROS_000274-T2                0  0 o
GLOROS_000274-T3                0  0 o
GLOROS_000274-T4                0  0 o
GLOROS_000275-T1                0  0 o
GLOROS_000276-T1                0  0 o
GLOROS_000277-T1                0  Y n5-15c19/20o
GLOROS_000278-T1                0  Y n7-18c22/23o
GLOROS_000278-T2                0  Y n7-18c22/23o
GLOROS_000278-T3                0  Y n7-18c22/23o
GLOROS_000279-T1                0  0 i
GLOROS_000280-T1                6  0 i30-55o82-103i110-131o137-158i170-189o201-221i
GLOROS_000281-T1                0  Y n8-19c27/28o
GLOROS_000282-T1                0  Y n8-19c27/28o
GLOROS_000283-T1                1  Y n3-13c25/26o601-625i
GLOROS_000283-T2                1  Y n3-13c25/26o601-625i
GLOROS_000284-T1                0  0 o
GLOROS_000285-T1                0  0 o
GLOROS_000286-T1                1  0 o12-33i
GLOROS_000287-T1                0  0 o
GLOROS_000288-T1                0  Y n10-21c30/31o
GLOROS_000289-T1                3  Y n7-20c24/25o34-52i64-87o93-118i
GLOROS_000289-T2                2  Y n7-20c24/25o34-52i64-87o
GLOROS_000290-T1                0  Y n3-14c22/23o
GLOROS_000291-T1                0  Y n8-19c24/25o
GLOROS_000292-T1                0  0 o
GLOROS_000293-T1                0  0 o
GLOROS_000295-T1                0  0 o
GLOROS_000296-T1                0  Y n7-18c22/23o
GLOROS_000296-T2                0  Y n7-18c22/23o
GLOROS_000297-T1                0  0 o
GLOROS_000298-T1                0  Y n12-23c28/29o
GLOROS_000299-T1                0  0 o
GLOROS_000300-T1                0  0 o
GLOROS_000301-T1                0  0 o
GLOROS_000302-T1                0  0 o
GLOROS_000303-T1                0  0 i
GLOROS_000304-T1                0  0 o
GLOROS_000305-T1                0  0 o
GLOROS_000306-T1                0  0 o
GLOROS_000307-T1                0  Y n11-23c28/29o
GLOROS_000308-T1                0  Y n4-13c21/22o
GLOROS_000309-T1                0  0 o
GLOROS_000310-T1                0  0 o
GLOROS_000311-T1                1  0 o12-40i
GLOROS_000312-T1                3  0 o18-43i63-86o98-122i
GLOROS_000313-T1                7  0 o14-39i51-76o100-118i125-144o156-177i211-231o243-268i
GLOROS_000313-T2                4  0 i15-34o46-67i101-121o133-158i
GLOROS_000314-T1                0  Y n32-40c44/45o
GLOROS_000314-T2                0  Y n9-17c21/22o
GLOROS_000315-T1                0  Y n9-17c21/22o
GLOROS_000316-T1                0  0 o
GLOROS_000317-T1                0  0 o
GLOROS_000317-T2                0  0 o
GLOROS_000318-T1                0  Y n2-13c18/19o
GLOROS_000319-T1                0  0 o
GLOROS_000319-T2                0  0 o
GLOROS_000319-T3                0  0 o
GLOROS_000322-T1                0  0 o
GLOROS_000323-T1                0  0 o
GLOROS_000324-T1                0  Y n9-17c21/22o
GLOROS_000325-T1                0  0 o
GLOROS_000325-T2                0  0 o
GLOROS_000326-T1                0  0 o
GLOROS_000327-T1                0  0 o
GLOROS_000328-T1                0  0 o
GLOROS_000328-T2                1  0 o531-553i
GLOROS_000329-T1                0  0 o
GLOROS_000330-T1                0  0 o
GLOROS_000331-T1                0  0 o
GLOROS_000332-T1                0  0 o
GLOROS_000332-T2                0  0 i
GLOROS_000333-T1                0  0 o
GLOROS_000334-T1                0  0 o
GLOROS_000335-T1                0  0 o
GLOROS_000336-T1                0  0 o
GLOROS_000337-T1                0  0 o
GLOROS_000338-T1                0  0 o
GLOROS_000339-T1                0  0 o
GLOROS_000342-T1                0  Y n4-15c23/24o
GLOROS_000343-T1                0  0 o
GLOROS_000344-T1                0  0 o
GLOROS_000347-T1                0  0 o
GLOROS_000348-T1                0  0 o
GLOROS_000348-T2                0  0 o
GLOROS_000349-T1                0  0 o
GLOROS_000349-T2                0  0 o
GLOROS_000350-T1                0  0 o
GLOROS_000351-T1                0  0 o
GLOROS_000351-T2                0  0 o
GLOROS_000352-T1                0  Y n3-10c15/16o
GLOROS_000353-T1                0  Y n3-12c20/21o
GLOROS_000354-T1                0  0 o
GLOROS_000355-T1                0  0 o
GLOROS_000356-T1                0  0 o
GLOROS_000357-T1                4  0 o15-35i55-75o112-133i168-187o
GLOROS_000357-T2                2  0 i7-26o46-70i
GLOROS_000358-T1                0  Y n8-18c23/24o
GLOROS_000359-T1                0  0 o
GLOROS_000360-T1                7  0 o14-34i46-65o85-109i129-149o186-207i227-250o270-290i
GLOROS_000361-T1                5  0 o27-50i71-91o111-139i151-177o216-239i
GLOROS_000362-T1                0  Y n4-15c20/21o
GLOROS_000363-T1                0  Y n5-16c21/22o
GLOROS_000364-T1                6  0 i21-42o54-76i97-119o146-168i188-213o225-245i
GLOROS_000365-T1                0  0 o
GLOROS_000366-T1                0  0 o
GLOROS_000367-T1                0  0 o
GLOROS_000368-T1                0  0 o
GLOROS_000369-T1                0  0 o
GLOROS_000370-T1                0  0 o
GLOROS_000371-T1                4  0 i21-46o58-77i135-157o177-197i
GLOROS_000371-T2                4  0 i21-46o58-77i134-156o176-196i
GLOROS_000372-T1                7  0 o15-37i49-71o91-114i134-156o190-213i233-253o273-292i
GLOROS_000373-T1                1  0 o33-56i
GLOROS_000374-T1                0  0 o
GLOROS_000375-T1                0  0 o
GLOROS_000376-T1                1  0 i89-113o
GLOROS_000376-T2                0  0 o
GLOROS_000377-T1                1  0 o6-28i
GLOROS_000378-T1                0  0 o
GLOROS_000378-T2                0  0 o
GLOROS_000379-T1                0  0 o
GLOROS_000380-T1                6  0 o30-50i62-86o98-118i139-164o195-216i228-252o
GLOROS_000381-T1                0  0 o
GLOROS_000382-T1                0  0 o
GLOROS_000383-T1                0  0 o
GLOROS_000384-T1                0  0 o
GLOROS_000385-T1                0  Y n4-12c16/17o
GLOROS_000386-T1                0  0 o
GLOROS_000387-T1                3  0 o17-39i51-71o91-109i
GLOROS_000388-T1                2  0 i103-120o140-159i
GLOROS_000389-T1                2  0 o101-120i171-195o
GLOROS_000390-T1                0  Y n2-13c20/21o
GLOROS_000391-T1                0  0 o
GLOROS_000392-T1                5  0 o37-57i78-100o128-150i170-190o202-227i
GLOROS_000393-T1                0  0 o
GLOROS_000394-T1                0  0 o
GLOROS_000395-T1                0  0 o
GLOROS_000396-T1                0  0 o
GLOROS_000397-T1                0  0 o
GLOROS_000398-T1                0  0 o
GLOROS_000399-T1                0  0 o
GLOROS_000400-T1                0  0 o
GLOROS_000400-T2                0  0 o
GLOROS_000400-T3                0  0 o
GLOROS_000401-T1                1  Y n12-22c26/27o63-79i
GLOROS_000402-T1                0  0 o
GLOROS_000403-T1                0  0 o
GLOROS_000404-T1                0  0 o
GLOROS_000405-T1                2  0 o108-133i145-171o
GLOROS_000406-T1                0  0 o
GLOROS_000407-T1                0  0 i
GLOROS_000407-T2                0  0 o
GLOROS_000407-T3                0  0 i
GLOROS_000408-T1                0  Y n3-14c18/19o
GLOROS_000408-T2                0  Y n3-14c18/19o
GLOROS_000409-T1                0  Y n3-14c18/19o
GLOROS_000409-T2                0  Y n3-14c18/19o
GLOROS_000410-T1                0  0 o
GLOROS_000411-T1                4  0 o45-66i92-118o149-168i210-227o
GLOROS_000412-T1                0  0 i
GLOROS_000413-T1                1  0 o614-637i
GLOROS_000414-T1                0  0 o
GLOROS_000415-T1                0  0 o
GLOROS_000416-T1                0  0 o
GLOROS_000417-T1                0  0 o
GLOROS_000418-T1                0  Y n3-14c19/20o
GLOROS_000419-T1                0  0 o
GLOROS_000420-T1                0  0 o
GLOROS_000421-T1                0  0 o
GLOROS_000422-T1                2  0 i34-55o156-173i
GLOROS_000423-T1                0  0 i
GLOROS_000424-T1                7  0 o6-27i48-69o89-108i120-141o161-179i221-245o257-278i
GLOROS_000425-T1                0  0 o
GLOROS_000426-T1                0  Y n10-21c26/27o
GLOROS_000427-T1                0  0 o
GLOROS_000428-T1                2  0 i421-439o445-465i
GLOROS_000429-T1                0  0 o
GLOROS_000430-T1                0  0 o
GLOROS_000431-T1                3  0 o20-40i89-120o140-160i
GLOROS_000432-T1                8  0 i21-39o79-97i109-131o137-158i178-195o215-234i255-276o296-321i
GLOROS_000433-T1                0  0 o
GLOROS_000434-T1                0  0 o
GLOROS_000435-T1                0  0 o
GLOROS_000435-T2                0  0 o
GLOROS_000436-T1                0  0 i
GLOROS_000437-T1                1  0 o561-583i
GLOROS_000438-T1                0  0 o
GLOROS_000439-T1                2  0 i245-266o278-299i
GLOROS_000440-T1                6  0 o47-68i275-294o300-321i328-347o378-399i406-430o
GLOROS_000441-T1                0  Y n2-13c17/18o
GLOROS_000441-T2                0  Y n2-13c17/18o
GLOROS_000442-T1                1  0 i88-111o
GLOROS_000442-T2                1  0 i40-63o
GLOROS_000443-T1                0  0 o
GLOROS_000444-T1                0  0 o
GLOROS_000445-T1                0  0 o
GLOROS_000446-T1                0  0 o
GLOROS_000447-T1                0  0 o
GLOROS_000447-T2                0  0 o
GLOROS_000448-T1                0  0 o
GLOROS_000449-T1                2  0 i54-72o78-107i
GLOROS_000450-T1                4  0 i32-53o99-126i133-156o168-190i
GLOROS_000450-T2                2  0 o32-51i99-123o
GLOROS_000451-T1                0  0 o
GLOROS_000452-T1                0  0 o
GLOROS_000453-T1                1  0 o20-43i
GLOROS_000454-T1                1  0 o21-38i
GLOROS_000455-T1                0  0 o
GLOROS_000456-T1                0  0 o
GLOROS_000457-T1                1  0 i12-32o
GLOROS_000458-T1                0  0 o
GLOROS_000459-T1                0  0 o
GLOROS_000459-T2                0  0 o
GLOROS_000460-T1                0  0 o
GLOROS_000461-T1                0  0 o
GLOROS_000461-T2                0  0 o
GLOROS_000461-T3                0  0 o
GLOROS_000462-T1                0  0 o
GLOROS_000463-T1                0  0 i
GLOROS_000464-T1                0  0 o
GLOROS_000465-T1               10  0 o20-39i51-76o110-131i143-162o168-192i253-276o296-313i334-351o357-381i401-421o
GLOROS_000465-T2               10  0 o20-39i51-76o110-131i143-162o168-192i250-273o293-310i331-348o354-378i398-418o
GLOROS_000466-T1                0  Y n7-18c23/24o
GLOROS_000466-T2                0  0 o
GLOROS_000466-T3                0  Y n7-18c23/24o
GLOROS_000467-T1                1  0 o437-460i
GLOROS_000467-T2                1  0 o427-450i
GLOROS_000468-T1                1  Y n20-28c35/36o240-264i
GLOROS_000468-T2                1  Y n20-28c35/36o241-265i
GLOROS_000469-T1                0  0 o
GLOROS_000470-T1                0  0 o
GLOROS_000471-T1               13  0 o31-48i60-87o93-115i122-138o210-231i238-263o283-309i321-343o379-407i419-442o454-475i496-522o542-561i
GLOROS_000471-T2               11  Y n2-9c14/15o30-51i72-103o179-200i207-232o252-278i290-312o348-376i388-411o423-444i465-491o511-530i
GLOROS_000472-T1                0  0 o
GLOROS_000473-T1                1  0 i137-156o
GLOROS_000474-T1                0  0 o
GLOROS_000475-T1                0  0 o
GLOROS_000475-T2                0  0 o
GLOROS_000476-T1                0  0 o
GLOROS_000477-T1                0  0 o
GLOROS_000478-T1                0  Y n10-21c29/30o
GLOROS_000478-T2                0  Y n10-21c29/30o
GLOROS_000479-T1                0  0 i
GLOROS_000480-T1                0  0 o
GLOROS_000481-T1                0  0 o
GLOROS_000482-T1                0  0 o
GLOROS_000483-T1                0  0 o
GLOROS_000484-T1                0  Y n4-11c16/17o
GLOROS_000485-T1               11  0 i43-66o86-105i112-132o138-164i171-195o201-220i449-473o493-511i532-552o558-581i593-615o
GLOROS_000486-T1                0  0 o
GLOROS_000487-T1               12  0 i30-55o67-87i99-119o125-148i160-185o205-223i264-284o304-325i337-356o394-414i434-456o462-481i
GLOROS_000488-T1                6  0 o636-656i676-696o716-742i787-808o828-853i975-994o
GLOROS_000488-T2                6  0 o648-668i688-708o728-754i799-820o840-865i987-1006o
GLOROS_000489-T1                0  0 o
GLOROS_000490-T1                0  0 o
GLOROS_000491-T1                3  0 o14-35i76-95o107-130i
GLOROS_000492-T1                0  0 o
GLOROS_000492-T2                0  0 o
GLOROS_000493-T1                2  0 i15-37o43-63i
GLOROS_000494-T1                0  0 o
GLOROS_000495-T1                1  0 i97-118o
GLOROS_000495-T2                1  0 i84-105o
GLOROS_000496-T1                0  0 o
GLOROS_000497-T1                0  0 o
GLOROS_000498-T1                0  0 o
GLOROS_000499-T1                0  0 o
GLOROS_000500-T1                0  0 o
GLOROS_000501-T1                0  0 o
GLOROS_000501-T2                0  0 o
GLOROS_000502-T1                0  0 o
GLOROS_000503-T1                0  0 o
GLOROS_000504-T1                0  Y n8-15c33/34o
GLOROS_000504-T2                0  0 o
GLOROS_000504-T3                0  Y n8-15c33/34o
