#A_id	B_id	A_length	B_length	A_qcovhsp	B_qcovhsp	length	pident	bitscore	evalue
GPALN_000251-T1	GPLIN_000772900	517	499	100	99	517	96.132	1019	0.00e+00
GPALN_000254-T1	GPLIN_000772700	360	288	80	99	287	98.955	593	0.00e+00
GPALN_000255-T1	GPLIN_000772600	565	566	100	99	565	99.823	1160	0.00e+00
GPALN_000256-T1	GPLIN_000772500	418	422	93	91	387	97.158	778	0.00e+00
GPALN_000261-T1	GPLIN_000715000	587	815	99	72	583	98.456	1187	0.00e+00
GPALN_000262-T1	GPLIN_000715100	279	280	100	99	279	99.642	576	0.00e+00
GPALN_000267-T1	GPLIN_000648900	323	325	100	99	323	94.118	612	0.00e+00
GPALN_000268-T1	GPLIN_000715200	102	97	72	75	73	97.260	150	4.03e-49
GPALN_000269-T1	GPLIN_000715300	152	149	100	99	152	96.711	295	7.20e-105
GPALN_000272-T1	GPLIN_000715400	631	525	85	99	537	94.972	1060	0.00e+00
GPALN_000274-T1	GPLIN_000280000	611	551	67	75	412	98.058	837	0.00e+00
GPALN_000281-T1	GPLIN_000715700	248	249	100	99	248	99.597	512	0.00e+00
GPALN_000284-T1	GPLIN_000716100	2013	2206	88	85	1880	89.894	2785	0.00e+00
GPALN_000285-T1	GPLIN_000716500	693	444	63	96	434	96.544	846	0.00e+00
GPALN_000292-T1	GPLIN_000279700	318	190	52	88	168	88.690	309	1.39e-107
GPALN_000293-T1	GPLIN_000367300	179	318	96	54	171	99.415	362	1.88e-128
GPALN_000294-T1	GPLIN_000367200	1043	740	70	99	732	98.770	1488	0.00e+00
GPALN_000296-T1	GPLIN_001527600	133	135	100	99	134	98.507	271	2.66e-96
GPALN_000297-T1	GPLIN_000366800	123	124	100	99	123	100.000	252	7.41e-89
GPALN_000298-T1	GPLIN_000366700	615	464	74	99	459	97.603	898	0.00e+00
GPALN_000299-T1	GPLIN_000366600	369	228	62	99	227	99.559	469	7.96e-169
GPALN_000303-T1	GPLIN_000367800	219	229	100	99	232	79.741	318	1.33e-111
GPALN_000304-T1	GPLIN_000367600	455	535	94	82	426	95.227	833	0.00e+00
GPALN_000305-T1	GPLIN_001428200	166	167	100	99	166	100.000	336	1.09e-120
GPALN_000306-T1	GPLIN_000367500	1769	1264	54	75	953	99.057	1707	0.00e+00
GPALN_000307-T1	GPLIN_000367400	429	271	51	80	218	99.541	464	3.10e-165
GPALN_000310-T1	GPLIN_000279600	93	94	100	99	93	97.849	192	3.65e-66
GPALN_000312-T1	GPLIN_000279400	1615	1102	53	77	852	98.005	1664	0.00e+00
GPALN_000319-T1	GPLIN_001250600	433	485	70	62	301	100.000	630	0.00e+00
GPALN_000321-T1	GPLIN_000278900	1098	1065	100	99	1098	96.084	2168	0.00e+00
GPALN_000324-T1	GPLIN_001139600	169	114	67	99	113	99.115	231	7.20e-80
GPALN_000326-T1	GPLIN_000278400	1398	1522	78	73	1124	88.256	1955	0.00e+00
GPALN_000327-T1	GPLIN_001127600	125	116	90	99	115	95.652	218	1.91e-75
GPALN_000328-T1	GPLIN_001127800	574	366	58	91	333	99.399	676	0.00e+00
GPALN_000330-T1	GPLIN_000278200	573	458	79	98	451	98.891	902	0.00e+00
GPALN_000333-T1	GPLIN_000278000	804	639	82	81	520	74.170	537	0.00e+00
GPALN_000337-T1	GPLIN_001606700	196	115	60	99	119	93.277	142	1.49e-44
GPALN_000338-T1	GPLIN_001120500	459	479	100	99	478	93.724	912	0.00e+00
GPALN_000340-T1	GPLIN_001120700	561	501	88	93	492	94.106	948	0.00e+00
GPALN_000341-T1	GPLIN_001120800	327	333	100	99	332	98.494	677	0.00e+00
GPALN_000342-T1	GPLIN_001121000	644	464	61	85	396	98.232	780	0.00e+00
GPALN_000343-T1	GPLIN_001466000	186	213	84	73	156	96.795	308	7.96e-109
GPALN_000346-T1	GPLIN_001121400	363	341	100	99	368	88.043	640	0.00e+00
GPALN_000347-T1	GPLIN_001121500	398	399	100	99	398	100.000	823	0.00e+00
GPALN_000348-T1	GPLIN_001121600	427	428	100	99	427	99.766	860	0.00e+00
GPALN_000349-T1	GPLIN_001121700	308	345	100	89	308	100.000	603	0.00e+00
GPALN_000350-T1	GPLIN_000937100	378	384	100	98	378	99.206	723	0.00e+00
GPALN_000351-T1	GPLIN_000937200	223	253	99	88	222	90.541	411	4.28e-148
GPALN_000352-T1	GPLIN_000937400	915	685	63	85	581	97.418	1171	0.00e+00
GPALN_000354-T1	GPLIN_000937500	407	401	100	99	407	97.543	801	0.00e+00
GPALN_000355-T1	GPLIN_000937800	373	374	100	99	373	99.196	764	0.00e+00
GPALN_000356-T1	GPLIN_000937900	695	728	100	99	727	95.598	1431	0.00e+00
GPALN_000357-T1	GPLIN_000938000	621	678	95	82	600	86.500	1026	0.00e+00
GPALN_000358-T1	GPLIN_000938100	316	318	100	99	316	99.684	641	0.00e+00
GPALN_000359-T1	GPLIN_000938400	431	516	97	78	420	94.762	796	0.00e+00
GPALN_000360-T1	GPLIN_000938500	787	620	78	98	614	97.720	1157	0.00e+00
GPALN_000361-T1	GPLIN_000733500	832	832	97	97	809	98.022	1653	0.00e+00
GPALN_000362-T1	GPLIN_000733600	249	249	100	99	249	98.394	473	2.02e-172
GPALN_000363-T1	GPLIN_000733700	535	625	98	99	622	74.759	883	0.00e+00
GPALN_000364-T1	GPLIN_000733800	104	111	92	99	110	86.364	191	2.96e-65
GPALN_000365-T1	GPLIN_000733900	398	634	99	62	396	96.212	778	0.00e+00
GPALN_000367-T1	GPLIN_000734000	148	155	100	99	154	89.610	280	4.20e-99
GPALN_000368-T1	GPLIN_000734100	119	120	100	99	119	100.000	239	5.05e-84
GPALN_000369-T1	GPLIN_000734200	459	460	100	99	459	100.000	936	0.00e+00
GPALN_000370-T1	GPLIN_000734300	1226	1247	99	95	1215	96.379	2402	0.00e+00
GPALN_000371-T1	GPLIN_000734400	200	201	100	99	200	100.000	420	5.14e-153
GPALN_000372-T1	GPLIN_000734500	1000	723	74	99	750	91.067	1379	0.00e+00
GPALN_000374-T1	GPLIN_000734600	485	486	100	99	485	100.000	1009	0.00e+00
GPALN_000375-T1	GPLIN_001416500	916	823	87	99	851	89.424	1467	0.00e+00
GPALN_000377-T1	GPLIN_000370800	693	717	100	99	717	94.421	1355	0.00e+00
GPALN_000378-T1	GPLIN_000370700	1630	961	62	99	1056	79.356	1450	0.00e+00
GPALN_000379-T1	GPLIN_001014700	551	642	100	86	551	98.548	1053	0.00e+00
GPALN_000380-T1	GPLIN_000370500	536	537	100	99	536	99.440	1067	0.00e+00
GPALN_000381-T1	GPLIN_000370400	353	354	100	99	353	100.000	738	0.00e+00
GPALN_000382-T1	GPLIN_000370300	500	483	100	99	500	96.400	990	0.00e+00
GPALN_000383-T1	GPLIN_000370200	98	131	94	70	92	91.304	153	3.90e-50
GPALN_000384-T2	GPLIN_000370000	472	458	97	99	457	99.344	939	0.00e+00
GPALN_000385-T1	GPLIN_000369900	539	497	98	99	528	93.939	1002	0.00e+00
GPALN_000388-T1	GPLIN_001187000	344	370	89	85	316	96.203	602	0.00e+00
GPALN_000394-T1	GPLIN_001001500	159	163	100	99	162	98.148	326	5.24e-117
GPALN_000395-T1	GPLIN_001001600	492	486	97	96	489	89.980	910	0.00e+00
GPALN_000396-T1	GPLIN_001001700	242	381	98	62	238	99.580	484	1.79e-174
GPALN_000398-T1	GPLIN_000313900	70	71	100	99	70	100.000	142	7.23e-47
GPALN_000399-T1	GPLIN_001001800	446	445	93	94	417	100.000	875	0.00e+00
GPALN_000400-T1	GPLIN_000931900	517	551	100	99	550	94.000	1064	0.00e+00
GPALN_000401-T1	GPLIN_000932100	1077	999	78	84	838	99.642	1739	0.00e+00
GPALN_000403-T1	GPLIN_000932200	959	912	95	99	909	99.670	1867	0.00e+00
GPALN_000404-T1	GPLIN_000932300	833	817	100	99	833	96.999	1669	0.00e+00
GPALN_000405-T1	GPLIN_000932400	1139	1136	98	99	1127	97.693	2260	0.00e+00
GPALN_000406-T1	GPLIN_000932500	436	413	100	99	438	83.562	714	0.00e+00
GPALN_000408-T1	GPLIN_000607200	374	390	99	95	372	99.462	757	0.00e+00
GPALN_000411-T1	GPLIN_000607400	519	520	100	99	519	99.807	1080	0.00e+00
GPALN_000421-T1	GPLIN_001233700	217	188	85	98	185	100.000	366	1.54e-131
GPALN_000424-T1	GPLIN_001119900	322	304	100	99	322	94.099	621	0.00e+00
GPALN_000425-T1	GPLIN_001120100	452	313	66	99	312	96.154	622	0.00e+00
GPALN_000426-T1	GPLIN_001517800	149	86	56	97	83	98.795	161	4.33e-53
GPALN_000427-T1	GPLIN_001120200	217	218	100	99	217	96.313	421	7.98e-153
GPALN_000431-T1	GPLIN_001034100	302	310	99	96	299	99.331	616	0.00e+00
GPALN_000432-T1	GPLIN_001034200	694	655	71	75	491	99.389	1023	0.00e+00
GPALN_000436-T1	GPLIN_001034300	596	584	84	83	487	96.994	957	0.00e+00
GPALN_000437-T1	GPLIN_001034400	212	128	60	99	127	99.213	250	1.14e-86
GPALN_000439-T1	GPLIN_001034500	109	87	79	99	86	98.837	169	7.61e-57
GPALN_000440-T1	GPLIN_001034600	532	533	90	87	481	94.802	905	0.00e+00
GPALN_000442-T1	GPLIN_001034700	638	350	55	99	351	96.581	696	0.00e+00
GPALN_000445-T1	GPLIN_000652700	149	185	92	73	137	97.810	271	5.08e-95
GPALN_000450-T2	GPLIN_000652900	316	303	100	99	316	91.772	351	2.27e-125
GPALN_000451-T1	GPLIN_000653100	234	235	100	99	234	100.000	477	3.68e-174
GPALN_000453-T1	GPLIN_000653200	380	403	100	99	416	87.981	705	0.00e+00
GPALN_000456-T1	GPLIN_000653400	316	225	71	99	224	99.107	456	1.00e-164
GPALN_000457-T1	GPLIN_000653500	463	479	100	99	478	92.887	874	0.00e+00
GPALN_000458-T1	GPLIN_000653600	882	610	69	99	611	98.036	1208	0.00e+00
GPALN_000460-T1	GPLIN_000653800	249	222	87	98	217	95.853	401	4.55e-144
GPALN_000462-T1	GPLIN_000654100	248	249	100	99	248	100.000	509	0.00e+00
GPALN_000463-T1	GPLIN_000654200	181	193	99	93	179	98.324	366	6.58e-132
GPALN_000467-T1	GPLIN_000654600	589	626	95	90	562	99.644	1142	0.00e+00
GPALN_000469-T1	GPLIN_000654700	655	536	84	99	550	96.364	1092	0.00e+00
GPALN_000470-T1	GPLIN_000654800	424	425	100	99	424	99.528	877	0.00e+00
GPALN_000473-T1	GPLIN_000655000	206	180	100	99	206	84.466	347	4.08e-124
GPALN_000477-T1	GPLIN_000655200	313	314	100	99	313	100.000	644	0.00e+00
GPALN_000480-T1	GPLIN_000655400	1115	1038	65	71	768	82.031	1169	0.00e+00
GPALN_000481-T1	GPLIN_000655500	733	734	100	99	733	98.772	1490	0.00e+00
GPALN_000485-T1	GPLIN_000655900	560	439	66	84	369	98.916	742	0.00e+00
GPALN_000487-T1	GPLIN_000858600	289	199	67	98	195	95.897	390	1.46e-139
GPALN_000488-T1	GPLIN_000858700	598	599	100	99	600	97.833	1217	0.00e+00
GPALN_000489-T1	GPLIN_000858800	419	452	100	99	452	91.593	828	0.00e+00
GPALN_000490-T1	GPLIN_000858900	506	509	100	99	509	98.232	1019	0.00e+00
GPALN_000493-T1	GPLIN_000859100	1431	1279	61	65	879	91.240	1612	0.00e+00
GPALN_000494-T1	GPLIN_000859200	549	544	100	99	549	98.543	1120	0.00e+00
GPALN_000495-T1	GPLIN_000859300	575	576	100	99	575	98.783	1165	0.00e+00
GPALN_000505-T1	GPLIN_000644900	1014	689	56	81	565	90.265	996	0.00e+00
GPALN_000506-T1	GPLIN_000645000	206	203	100	99	206	98.058	403	4.61e-146
GPALN_000507-T1	GPLIN_001477000	626	541	85	99	544	97.059	1086	0.00e+00
GPALN_000509-T1	GPLIN_001134600	610	594	96	99	599	95.993	1191	0.00e+00
GPALN_000510-T1	GPLIN_001134500	723	717	100	99	725	94.759	1394	0.00e+00
GPALN_000511-T1	GPLIN_001134400	508	493	100	99	508	96.457	1003	0.00e+00
GPALN_000512-T1	GPLIN_001134300	292	293	100	99	292	99.315	567	0.00e+00
GPALN_000514-T1	GPLIN_001134200	399	400	100	99	399	99.248	826	0.00e+00
GPALN_000516-T1	GPLIN_001134000	341	358	93	87	316	97.785	623	0.00e+00
GPALN_000517-T1	GPLIN_001133900	156	157	100	99	156	97.436	308	3.81e-110
GPALN_000518-T1	GPLIN_001133800	425	426	100	99	425	99.294	882	0.00e+00
GPALN_000519-T1	GPLIN_001133600	992	793	76	86	750	90.800	1381	0.00e+00
GPALN_000522-T1	GPLIN_000737500	946	730	55	74	538	97.212	1028	0.00e+00
GPALN_000523-T1	GPLIN_000737300	637	425	71	99	452	92.699	838	0.00e+00
GPALN_000524-T1	GPLIN_000737200	365	333	73	81	266	90.288	483	5.03e-173
GPALN_000531-T1	GPLIN_000189000	365	337	100	99	365	91.781	682	0.00e+00
GPALN_000532-T1	GPLIN_000189100	254	360	98	69	249	99.598	505	0.00e+00
GPALN_000533-T1	GPLIN_000189200	209	194	87	93	181	99.448	379	8.42e-137
GPALN_000534-T1	GPLIN_000189300	533	794	86	54	458	92.358	869	0.00e+00
GPALN_000536-T1	GPLIN_000189500	326	255	82	96	268	89.925	486	5.10e-176
GPALN_000537-T1	GPLIN_000189600	159	140	87	99	139	100.000	276	1.44e-97
GPALN_000538-T1	GPLIN_000189700	208	209	100	99	208	99.519	431	4.58e-157
GPALN_000539-T1	GPLIN_000189800	394	395	100	99	394	99.492	786	0.00e+00
GPALN_000540-T1	GPLIN_000213500	275	357	100	77	275	99.273	548	0.00e+00
GPALN_000541-T1	GPLIN_000213600	418	421	100	99	418	99.043	847	0.00e+00
GPALN_000542-T1	GPLIN_000213700	223	193	78	90	173	98.266	348	2.35e-124
GPALN_000544-T1	GPLIN_000190000	96	97	100	99	96	100.000	204	1.33e-70
GPALN_000545-T1	GPLIN_000190100	208	218	77	73	160	99.375	332	8.97e-118
GPALN_000546-T1	GPLIN_000190200	313	302	74	77	233	100.000	474	1.12e-170
GPALN_000549-T1	GPLIN_000190300	416	282	68	99	281	99.644	555	0.00e+00
GPALN_000550-T1	GPLIN_000190400	423	414	100	99	423	96.217	845	0.00e+00
GPALN_000551-T1	GPLIN_000190500	427	386	93	99	398	90.955	667	0.00e+00
GPALN_000552-T1	GPLIN_000190600	1584	1231	73	96	1196	93.813	2125	0.00e+00
GPALN_000553-T1	GPLIN_000190700	411	404	100	99	411	97.324	814	0.00e+00
GPALN_000554-T1	GPLIN_001447000	1402	1079	76	99	1081	97.965	2162	0.00e+00
GPALN_000555-T1	GPLIN_000190900	748	651	85	98	638	99.843	1328	0.00e+00
GPALN_000558-T1	GPLIN_000191100	76	77	100	99	76	100.000	152	7.92e-51
GPALN_000559-T1	GPLIN_000191200	669	645	100	99	682	80.792	912	0.00e+00
GPALN_000561-T2	GPLIN_000191300	890	1189	87	66	787	93.358	1374	0.00e+00
GPALN_000562-T1	GPLIN_000191500	866	784	75	82	648	97.685	1295	0.00e+00
GPALN_000563-T1	GPLIN_000191600	439	440	100	99	439	98.405	900	0.00e+00
GPALN_000565-T1	GPLIN_000191700	798	1200	93	62	742	98.787	1522	0.00e+00
GPALN_000568-T1	GPLIN_000191800	1235	1237	100	99	1236	99.595	2542	0.00e+00
GPALN_000569-T1	GPLIN_000191900	92	93	100	99	92	100.000	187	3.24e-64
GPALN_000570-T1	GPLIN_001379500	279	276	77	78	216	98.611	434	6.54e-156
GPALN_000571-T1	GPLIN_001379600	216	217	100	99	216	100.000	431	7.93e-157
GPALN_000575-T1	GPLIN_001379700	394	351	90	99	370	87.027	624	0.00e+00
GPALN_000578-T1	GPLIN_001188600	142	143	100	99	142	100.000	297	5.45e-106
GPALN_000579-T1	GPLIN_001188500	541	543	100	99	542	99.815	1119	0.00e+00
GPALN_000584-T1	GPLIN_001188200	443	444	100	99	443	98.194	892	0.00e+00
GPALN_000585-T1	GPLIN_001188100	696	670	100	99	696	96.121	1361	0.00e+00
GPALN_000586-T1	GPLIN_001188000	1528	1477	100	99	1528	95.615	3005	0.00e+00
GPALN_000587-T1	GPLIN_001187800	844	694	87	99	733	92.360	1331	0.00e+00
GPALN_000588-T1	GPLIN_001187700	570	391	52	76	298	97.651	600	0.00e+00
GPALN_000592-T1	GPLIN_000729100	452	453	100	99	452	100.000	941	0.00e+00
