#type	scaffold	gene
effector	Gpscaff14	GPALN003946.T1
effector	Gpscaff14	GPALN003949.T1
effector	Gpscaff14	GPALN003952.T1
effector	Gpscaff14	GPALN003953.T1
effector	Gpscaff14	GPALN003954.T1
effector	Gpscaff14	GPALN003955.T1
effector	Gpscaff14	GPALN003970.T1
effector	Gpscaff14	GPALN003975.T1
effector	Gpscaff14	GPALN003977.T1
effector	Gpscaff14	GPALN003990.T1
effector	Gpscaff14	GPALN003997.T1
effector	Gpscaff14	GPALN004007.T1
effector	Gpscaff14	GPALN004008.T1
effector	Gpscaff14	GPALN004009.T1
effector	Gpscaff14	GPALN004010.T1
effector	Gpscaff14	GPALN004011.T1
effector	Gpscaff14	GPALN004014.T1
effector	Gpscaff14	GPALN004017.T1
effector	Gpscaff14	GPALN004018.T1
effector	Gpscaff15	GPALN004064.T1
effector	Gpscaff15	GPALN004130.T1
effector	Gpscaff16	GPALN004254.T1
effector	Gpscaff16	GPALN004265.T1
effector	Gpscaff16	GPALN004342.T1
effector	Gpscaff16	GPALN004369.T1
effector	Gpscaff16	GPALN004380.T1
effector	Gpscaff17	GPALN004410.T1
effector	Gpscaff17	GPALN004411.T1
effector	Gpscaff18	GPALN004470.T1
effector	Gpscaff18	GPALN004480.T1
effector	Gpscaff18	GPALN004493.T1
effector	Gpscaff18	GPALN004506.T1
effector	Gpscaff18	GPALN004534.T1
effector	Gpscaff18	GPALN004553.T1
effector	Gpscaff18	GPALN004554.T1
effector	Gpscaff18	GPALN004555.T1
effector	Gpscaff18	GPALN004557.T1
effector	Gpscaff18	GPALN004587.T1
effector	Gpscaff19	GPALN004678.T1
effector	Gpscaff19	GPALN004679.T1
effector	Gpscaff19	GPALN004681.T1
effector	Gpscaff19	GPALN004712.T1
effector	Gpscaff19	GPALN004734.T1
effector	Gpscaff19	GPALN004798.T1
effector	Gpscaff2	GPALN004862.T1
effector	Gpscaff2	GPALN004881.T1
effector	Gpscaff2	GPALN004897.T1
effector	Gpscaff2	GPALN004901.T1
effector	Gpscaff2	GPALN005017.T1
effector	Gpscaff2	GPALN005038.T1
effector	Gpscaff2	GPALN005042.T1
effector	Gpscaff2	GPALN005064.T1
effector	Gpscaff2	GPALN005067.T1
effector	Gpscaff2	GPALN005090.T1
effector	Gpscaff2	GPALN005100.T1
effector	Gpscaff2	GPALN005105.T1
effector	Gpscaff2	GPALN005129.T1
effector	Gpscaff2	GPALN005160.T1
effector	Gpscaff2	GPALN005161.T1
effector	Gpscaff2	GPALN005554.T1
effector	Gpscaff2	GPALN005611.T1
effector	Gpscaff2	GPALN005738.T1
effector	Gpscaff2	GPALN005801.T1
effector	Gpscaff2	GPALN005901.T1
effector	Gpscaff2	GPALN005903.T1
effector	Gpscaff2	GPALN005905.T1
effector	Gpscaff2	GPALN005953.T1
effector	Gpscaff2	GPALN005986.T1
effector	Gpscaff2	GPALN006031.T1
effector	Gpscaff2	GPALN006035.T1
effector	Gpscaff2	GPALN006038.T1
effector	Gpscaff2	GPALN006057.T1
effector	Gpscaff2	GPALN006059.T1
effector	Gpscaff2	GPALN006061.T1
effector	Gpscaff2	GPALN006067.T1
effector	Gpscaff2	GPALN006112.T1
effector	Gpscaff2	GPALN016298.T1
effector	Gpscaff20	GPALN006124.T1
effector	Gpscaff20	GPALN006223.T1
effector	Gpscaff20	GPALN006413.T1
effector	Gpscaff21	GPALN006581.T1
effector	Gpscaff21	GPALN006596.T1
effector	Gpscaff22	GPALN006752.T1
effector	Gpscaff22	GPALN006754.T1
effector	Gpscaff22	GPALN006755.T1
effector	Gpscaff22	GPALN006756.T1
effector	Gpscaff22	GPALN006759.T1
effector	Gpscaff22	GPALN006766.T1
effector	Gpscaff22	GPALN006769.T1
effector	Gpscaff22	GPALN006775.T1
effector	Gpscaff22	GPALN006778.T1
effector	Gpscaff22	GPALN006780.T1
effector	Gpscaff22	GPALN006782.T1
effector	Gpscaff22	GPALN006818.T1
effector	Gpscaff22	GPALN006828.T1
effector	Gpscaff22	GPALN006839.T1
effector	Gpscaff22	GPALN006853.T1
effector	Gpscaff22	GPALN006856.T1
effector	Gpscaff22	GPALN006860.T1
effector	Gpscaff23	GPALN006911.T1
effector	Gpscaff23	GPALN006945.T1
effector	Gpscaff24	GPALN007051.T1
effector	Gpscaff24	GPALN007058.T1
effector	Gpscaff24	GPALN007072.T1
effector	Gpscaff24	GPALN007079.T1
effector	Gpscaff24	GPALN007120.T1
effector	Gpscaff24	GPALN007129.T1
effector	Gpscaff24	GPALN007132.T1
effector	Gpscaff24	GPALN007139.T1
effector	Gpscaff25	GPALN007178.T1
effector	Gpscaff25	GPALN007179.T1
effector	Gpscaff25	GPALN007181.T1
effector	Gpscaff25	GPALN007201.T1
effector	Gpscaff26	GPALN007436.T1
effector	Gpscaff26	GPALN007443.T1
effector	Gpscaff26	GPALN007445.T1
effector	Gpscaff27	GPALN007647.T1
effector	Gpscaff27	GPALN007648.T1
effector	Gpscaff27	GPALN007670.T1
effector	Gpscaff27	GPALN007696.T1
effector	Gpscaff27	GPALN007708.T1
effector	Gpscaff28	GPALN007748.T1
effector	Gpscaff29	GPALN007796.T1
effector	Gpscaff29	GPALN007811.T1
effector	Gpscaff29	GPALN007837.T1
effector	Gpscaff29	GPALN007848.T1
effector	Gpscaff29	GPALN007899.T1
effector	Gpscaff3	GPALN008074.T1
effector	Gpscaff3	GPALN008097.T1
effector	Gpscaff3	GPALN008098.T1
effector	Gpscaff3	GPALN008100.T1
effector	Gpscaff3	GPALN008101.T1
effector	Gpscaff3	GPALN008102.T1
effector	Gpscaff3	GPALN008108.T1
effector	Gpscaff3	GPALN008152.T1
effector	Gpscaff3	GPALN008161.T1
effector	Gpscaff3	GPALN008462.T1
effector	Gpscaff3	GPALN008535.T1
effector	Gpscaff3	GPALN009056.T1
effector	Gpscaff3	GPALN009323.T1
effector	Gpscaff3	GPALN009441.T1
effector	Gpscaff3	GPALN009443.T1
effector	Gpscaff3	GPALN009444.T1
effector	Gpscaff3	GPALN009458.T1
effector	Gpscaff3	GPALN009492.T1
effector	Gpscaff3	GPALN009497.T1
effector	Gpscaff3	GPALN009498.T1
effector	Gpscaff3	GPALN009505.T1
effector	Gpscaff3	GPALN009532.T1
effector	Gpscaff3	GPALN016330.T1
effector	Gpscaff30	GPALN009580.T1
effector	Gpscaff30	GPALN009586.T1
effector	Gpscaff30	GPALN009589.T1
effector	Gpscaff30	GPALN009640.T1
effector	Gpscaff31	GPALN009669.T1
effector	Gpscaff31	GPALN009670.T1
effector	Gpscaff31	GPALN009695.T1
effector	Gpscaff31	GPALN009796.T1
effector	Gpscaff31	GPALN009815.T1
effector	Gpscaff32	GPALN009823.T1
effector	Gpscaff32	GPALN009825.T1
effector	Gpscaff32	GPALN009837.T1
effector	Gpscaff32	GPALN009839.T1
effector	Gpscaff32	GPALN009900.T1
effector	Gpscaff32	GPALN009902.T1
effector	Gpscaff32	GPALN009918.T1
effector	Gpscaff33	GPALN010067.T1
effector	Gpscaff33	GPALN010093.T1
effector	Gpscaff34	GPALN010126.T1
effector	Gpscaff34	GPALN010127.T1
effector	Gpscaff34	GPALN010171.T1
effector	Gpscaff34	GPALN010199.T1
effector	Gpscaff34	GPALN016343.T1
effector	Gpscaff35	GPALN010231.T1
effector	Gpscaff35	GPALN010232.T1
effector	Gpscaff36	GPALN010316.T1
effector	Gpscaff36	GPALN010321.T1
effector	Gpscaff37	GPALN010414.T1
effector	Gpscaff37	GPALN010416.T1
effector	Gpscaff37	GPALN010432.T1
effector	Gpscaff37	GPALN010433.T1
effector	Gpscaff38	GPALN010511.T1
effector	Gpscaff38	GPALN010519.T1
effector	Gpscaff38	GPALN010534.T1
effector	Gpscaff38	GPALN010536.T1
effector	Gpscaff38	GPALN010540.T1
effector	Gpscaff38	GPALN010542.T1
effector	Gpscaff38	GPALN010554.T1
effector	Gpscaff39	GPALN010598.T1
effector	Gpscaff39	GPALN010602.T1
effector	Gpscaff39	GPALN010603.T1
effector	Gpscaff39	GPALN010621.T1
effector	Gpscaff39	GPALN010625.T1
effector	Gpscaff39	GPALN010636.T1
effector	Gpscaff4	GPALN010659.T1
effector	Gpscaff4	GPALN010702.T1
effector	Gpscaff4	GPALN010737.T1
effector	Gpscaff4	GPALN010778.T1
effector	Gpscaff4	GPALN010789.T1
effector	Gpscaff4	GPALN010793.T1
effector	Gpscaff4	GPALN010795.T1
effector	Gpscaff4	GPALN010824.T1
effector	Gpscaff4	GPALN010968.T1
effector	Gpscaff4	GPALN010970.T1
effector	Gpscaff4	GPALN011399.T1
effector	Gpscaff4	GPALN011715.T1
effector	Gpscaff40	GPALN011797.T1
effector	Gpscaff40	GPALN011812.T1
effector	Gpscaff40	GPALN011823.T1
effector	Gpscaff41	GPALN011852.T1
effector	Gpscaff41	GPALN011857.T1
effector	Gpscaff41	GPALN011858.T1
effector	Gpscaff41	GPALN011865.T1
effector	Gpscaff41	GPALN016360.T1
effector	Gpscaff44	GPALN012007.T1
effector	Gpscaff44	GPALN012010.T1
effector	Gpscaff44	GPALN012025.T1
effector	Gpscaff44	GPALN012056.T1
effector	Gpscaff44	GPALN012062.T1
effector	Gpscaff44	GPALN012064.T1
effector	Gpscaff44	GPALN012067.T1
effector	Gpscaff45	GPALN012099.T1
effector	Gpscaff46	GPALN012127.T1
effector	Gpscaff46	GPALN012134.T1
effector	Gpscaff49	GPALN012284.T1
effector	Gpscaff49	GPALN012287.T1
effector	Gpscaff5	GPALN012357.T1
effector	Gpscaff5	GPALN012358.T1
effector	Gpscaff5	GPALN012366.T1
effector	Gpscaff5	GPALN012415.T1
effector	Gpscaff5	GPALN012838.T1
effector	Gpscaff5	GPALN013104.T1
effector	Gpscaff5	GPALN013109.T1
effector	Gpscaff5	GPALN013144.T1
effector	Gpscaff5	GPALN013150.T1
effector	Gpscaff5	GPALN013168.T1
effector	Gpscaff53	GPALN013277.T1
effector	Gpscaff53	GPALN013280.T1
effector	Gpscaff55	GPALN013347.T1
effector	Gpscaff55	GPALN013348.T1
effector	Gpscaff55	GPALN013350.T1
effector	Gpscaff56	GPALN013383.T1
effector	Gpscaff56	GPALN013384.T1
effector	Gpscaff56	GPALN013385.T1
effector	Gpscaff56	GPALN013387.T1
effector	Gpscaff57	GPALN013459.T1
effector	Gpscaff59	GPALN013480.T1
effector	Gpscaff6	GPALN013496.T1
effector	Gpscaff6	GPALN013545.T1
effector	Gpscaff6	GPALN014005.T1
effector	Gpscaff6	GPALN014034.T1
effector	Gpscaff60	GPALN014145.T1
effector	Gpscaff60	GPALN014146.T1
effector	Gpscaff62	GPALN014235.T1
effector	Gpscaff64	GPALN014261.T1
effector	Gpscaff64	GPALN014268.T1
effector	Gpscaff64	GPALN014271.T1
effector	Gpscaff67	GPALN014324.T1
effector	Gpscaff67	GPALN014327.T1
effector	Gpscaff68	GPALN014354.T1
effector	Gpscaff68	GPALN014355.T1
effector	Gpscaff68	GPALN014357.T1
effector	Gpscaff68	GPALN014368.T1
effector	Gpscaff68	GPALN014369.T1
effector	Gpscaff68	GPALN014370.T1
effector	Gpscaff68	GPALN014371.T1
effector	Gpscaff68	GPALN014372.T1
effector	Gpscaff68	GPALN014377.T1
effector	Gpscaff68	GPALN014378.T1
effector	Gpscaff68	GPALN014379.T1
effector	Gpscaff68	GPALN014381.T1
effector	Gpscaff7	GPALN014395.T1
effector	Gpscaff7	GPALN014397.T1
effector	Gpscaff7	GPALN014398.T1
effector	Gpscaff7	GPALN014477.T1
effector	Gpscaff7	GPALN014498.T1
effector	Gpscaff7	GPALN014514.T1
effector	Gpscaff7	GPALN014539.T1
effector	Gpscaff7	GPALN014576.T1
effector	Gpscaff7	GPALN014665.T1
effector	Gpscaff7	GPALN014672.T1
effector	Gpscaff7	GPALN014707.T1
effector	Gpscaff7	GPALN014713.T1
effector	Gpscaff7	GPALN014746.T1
effector	Gpscaff7	GPALN014747.T1
effector	Gpscaff7	GPALN014750.T1
effector	Gpscaff7	GPALN014851.T1
effector	Gpscaff7	GPALN014857.T1
effector	Gpscaff7	GPALN014865.T1
effector	Gpscaff7	GPALN014866.T1
effector	Gpscaff7	GPALN014867.T1
effector	Gpscaff7	GPALN014868.T1
effector	Gpscaff7	GPALN014881.T1
effector	Gpscaff7	GPALN014885.T1
effector	Gpscaff7	GPALN014904.T1
effector	Gpscaff7	GPALN016378.T1
effector	Gpscaff74	GPALN015013.T1
effector	Gpscaff74	GPALN015014.T1
effector	Gpscaff76	GPALN015061.T1
effector	Gpscaff78	GPALN015073.T1
effector	Gpscaff8	GPALN015100.T1
effector	Gpscaff8	GPALN015116.T1
effector	Gpscaff8	GPALN015172.T1
effector	Gpscaff8	GPALN015177.T1
effector	Gpscaff8	GPALN015178.T1
effector	Gpscaff8	GPALN015179.T1
effector	Gpscaff8	GPALN015181.T1
effector	Gpscaff8	GPALN015182.T1
effector	Gpscaff8	GPALN015183.T1
effector	Gpscaff8	GPALN015186.T1
effector	Gpscaff8	GPALN015188.T1
effector	Gpscaff8	GPALN015193.T1
effector	Gpscaff8	GPALN015211.T1
effector	Gpscaff8	GPALN015218.T1
effector	Gpscaff8	GPALN015243.T1
effector	Gpscaff8	GPALN015248.T1
effector	Gpscaff8	GPALN015262.T1
effector	Gpscaff8	GPALN015272.T1
effector	Gpscaff8	GPALN015279.T1
effector	Gpscaff8	GPALN015280.T1
effector	Gpscaff8	GPALN015285.T1
effector	Gpscaff8	GPALN015291.T1
effector	Gpscaff8	GPALN015295.T1
effector	Gpscaff8	GPALN015296.T1
effector	Gpscaff8	GPALN015297.T1
effector	Gpscaff8	GPALN015298.T1
effector	Gpscaff8	GPALN015299.T1
effector	Gpscaff8	GPALN015301.T1
effector	Gpscaff8	GPALN015302.T1
effector	Gpscaff8	GPALN015304.T1
effector	Gpscaff8	GPALN015309.T1
effector	Gpscaff8	GPALN015314.T1
effector	Gpscaff8	GPALN015425.T1
effector	Gpscaff8	GPALN016380.T1
effector	Gpscaff85	GPALN015605.T1
effector	Gpscaff87	GPALN015632.T1
effector	Gpscaff9	GPALN015654.T1
effector	Gpscaff9	GPALN015738.T1
effector	Gpscaff9	GPALN015769.T1
effector	Gpscaff9	GPALN016090.T1
effector	Gpscaff9	GPALN016091.T1
effector	Gpscaff9	GPALN016117.T1
effector	Gpscaff91	GPALN016181.T1
effector	Gpscaff91	GPALN016188.T1
SPRYSEC	Gpscaff1	GPALN001352.T1
SPRYSEC	Gpscaff1	GPALN001780.T1
SPRYSEC	Gpscaff106	GPALN002288.T1
SPRYSEC	Gpscaff106	GPALN002290.T1
SPRYSEC	Gpscaff106	GPALN002300.T1
SPRYSEC	Gpscaff12	GPALN003057.T1
SPRYSEC	Gpscaff14	GPALN003793.T1
SPRYSEC	Gpscaff14	GPALN003794.T1
SPRYSEC	Gpscaff16	GPALN004265.T1
SPRYSEC	Gpscaff19	GPALN004734.T1
SPRYSEC	Gpscaff2	GPALN004881.T1
SPRYSEC	Gpscaff2	GPALN004897.T1
SPRYSEC	Gpscaff2	GPALN005953.T1
SPRYSEC	Gpscaff2	GPALN006035.T1
SPRYSEC	Gpscaff21	GPALN006596.T1
SPRYSEC	Gpscaff22	GPALN006775.T1
SPRYSEC	Gpscaff22	GPALN006818.T1
SPRYSEC	Gpscaff22	GPALN006828.T1
SPRYSEC	Gpscaff22	GPALN006839.T1
SPRYSEC	Gpscaff22	GPALN006853.T1
SPRYSEC	Gpscaff22	GPALN006856.T1
SPRYSEC	Gpscaff22	GPALN006860.T1
SPRYSEC	Gpscaff24	GPALN007120.T1
SPRYSEC	Gpscaff24	GPALN007129.T1
SPRYSEC	Gpscaff24	GPALN007132.T1
SPRYSEC	Gpscaff24	GPALN007139.T1
SPRYSEC	Gpscaff25	GPALN007168.T1
SPRYSEC	Gpscaff26	GPALN007445.T1
SPRYSEC	Gpscaff27	GPALN007711.T1
SPRYSEC	Gpscaff3	GPALN008646.T1
SPRYSEC	Gpscaff3	GPALN009458.T1
SPRYSEC	Gpscaff3	GPALN009532.T1
SPRYSEC	Gpscaff31	GPALN009669.T1
SPRYSEC	Gpscaff31	GPALN009815.T1
SPRYSEC	Gpscaff32	GPALN009918.T1
SPRYSEC	Gpscaff33	GPALN010093.T1
SPRYSEC	Gpscaff35	GPALN010231.T1
SPRYSEC	Gpscaff35	GPALN010232.T1
SPRYSEC	Gpscaff39	GPALN010569.T1
SPRYSEC	Gpscaff39	GPALN010645.T1
SPRYSEC	Gpscaff4	GPALN010789.T1
SPRYSEC	Gpscaff4	GPALN010793.T1
SPRYSEC	Gpscaff4	GPALN010968.T1
SPRYSEC	Gpscaff4	GPALN010970.T1
SPRYSEC	Gpscaff40	GPALN011823.T1
SPRYSEC	Gpscaff41	GPALN011858.T1
SPRYSEC	Gpscaff44	GPALN012007.T1
SPRYSEC	Gpscaff44	GPALN012056.T1
SPRYSEC	Gpscaff44	GPALN012062.T1
SPRYSEC	Gpscaff44	GPALN012064.T1
SPRYSEC	Gpscaff49	GPALN012287.T1
SPRYSEC	Gpscaff5	GPALN013114.T1
SPRYSEC	Gpscaff5	GPALN013168.T1
SPRYSEC	Gpscaff55	GPALN013348.T1
SPRYSEC	Gpscaff55	GPALN013350.T1
SPRYSEC	Gpscaff56	GPALN013383.T1
SPRYSEC	Gpscaff56	GPALN013385.T1
SPRYSEC	Gpscaff59	GPALN013480.T1
SPRYSEC	Gpscaff64	GPALN014271.T1
SPRYSEC	Gpscaff68	GPALN014355.T1
SPRYSEC	Gpscaff68	GPALN014357.T1
SPRYSEC	Gpscaff7	GPALN014395.T1
SPRYSEC	Gpscaff7	GPALN014397.T1
SPRYSEC	Gpscaff7	GPALN014398.T1
SPRYSEC	Gpscaff7	GPALN014477.T1
SPRYSEC	Gpscaff74	GPALN015013.T1
SPRYSEC	Gpscaff8	GPALN015280.T1
SPRYSEC	Gpscaff8	GPALN015295.T1
SPRYSEC	Gpscaff8	GPALN015298.T1
SPRYSEC	Gpscaff8	GPALN015301.T1
SPRYSEC	Gpscaff8	GPALN015302.T1
SPRYSEC	Gpscaff8	GPALN015309.T1
SPRYSEC	Gpscaff8	GPALN015314.T1
SPRYSEC	Gpscaff8	GPALN015407.T1
SPRYSEC	Gpscaff87	GPALN015632.T1
SPRYSEC	Gpscaff9	GPALN015813.T1
SPRYSEC	Gpscaff9	GPALN016040.T1
