#gene	number_of_motif_upstream
GPALN_015632	3
GPALN_015738	3
GPALN_016378	3
GPALN_000048	2
GPALN_000079	2
GPALN_000149	2
GPALN_000198	2
GPALN_000199	2
GPALN_000308	2
GPALN_000327	2
GPALN_000350	2
GPALN_000396	2
GPALN_000435	2
GPALN_000452	2
GPALN_000518	2
GPALN_000601	2
GPALN_000607	2
GPALN_000654	2
GPALN_000924	2
GPALN_001017	2
GPALN_001024	2
GPALN_001062	2
GPALN_001093	2
GPALN_001146	2
GPALN_001151	2
GPALN_001182	2
GPALN_001206	2
GPALN_001216	2
GPALN_001230	2
GPALN_001286	2
GPALN_001317	2
GPALN_001496	2
GPALN_001525	2
GPALN_001534	2
GPALN_001599	2
GPALN_001617	2
GPALN_001748	2
GPALN_001751	2
GPALN_001883	2
GPALN_001953	2
GPALN_002068	2
GPALN_002082	2
GPALN_002098	2
GPALN_002108	2
GPALN_002129	2
GPALN_002203	2
GPALN_002218	2
GPALN_002222	2
GPALN_002223	2
GPALN_002346	2
GPALN_002399	2
GPALN_002460	2
GPALN_002472	2
GPALN_002492	2
GPALN_002562	2
GPALN_002595	2
GPALN_002602	2
GPALN_002778	2
GPALN_002990	2
GPALN_003011	2
GPALN_003047	2
GPALN_003081	2
GPALN_003100	2
GPALN_003175	2
GPALN_003185	2
GPALN_003228	2
GPALN_003283	2
GPALN_003352	2
GPALN_003357	2
GPALN_003379	2
GPALN_003426	2
GPALN_003470	2
GPALN_003478	2
GPALN_003580	2
GPALN_003809	2
GPALN_003816	2
GPALN_003825	2
GPALN_003891	2
GPALN_003908	2
GPALN_003912	2
GPALN_003913	2
GPALN_003918	2
GPALN_003937	2
GPALN_003942	2
GPALN_003949	2
GPALN_003955	2
GPALN_003986	2
GPALN_004017	2
GPALN_004018	2
GPALN_004056	2
GPALN_004057	2
GPALN_004059	2
GPALN_004070	2
GPALN_004071	2
GPALN_004125	2
GPALN_004253	2
GPALN_004292	2
GPALN_004306	2
GPALN_004369	2
GPALN_004377	2
GPALN_004463	2
GPALN_004487	2
GPALN_004552	2
GPALN_004599	2
GPALN_004601	2
GPALN_004671	2
GPALN_004700	2
GPALN_004707	2
GPALN_004739	2
GPALN_004743	2
GPALN_004830	2
GPALN_004842	2
GPALN_004858	2
GPALN_004968	2
GPALN_005018	2
GPALN_005057	2
GPALN_005084	2
GPALN_005088	2
GPALN_005121	2
GPALN_005160	2
GPALN_005180	2
GPALN_005202	2
GPALN_005236	2
GPALN_005242	2
GPALN_005344	2
GPALN_005383	2
GPALN_005489	2
GPALN_005812	2
GPALN_005872	2
GPALN_005882	2
GPALN_005896	2
GPALN_005904	2
GPALN_005911	2
GPALN_005912	2
GPALN_005916	2
GPALN_005925	2
GPALN_006029	2
GPALN_006154	2
GPALN_006176	2
GPALN_006261	2
GPALN_006507	2
GPALN_006532	2
GPALN_006730	2
GPALN_006770	2
GPALN_006782	2
GPALN_006802	2
GPALN_006812	2
GPALN_006820	2
GPALN_006911	2
GPALN_006963	2
GPALN_007028	2
GPALN_007048	2
GPALN_007074	2
GPALN_007139	2
GPALN_007142	2
GPALN_007168	2
GPALN_007170	2
GPALN_007172	2
GPALN_007177	2
GPALN_007195	2
GPALN_007198	2
GPALN_007199	2
GPALN_007287	2
GPALN_007314	2
GPALN_007325	2
GPALN_007361	2
GPALN_007384	2
GPALN_007513	2
GPALN_007529	2
GPALN_007552	2
GPALN_007554	2
GPALN_007564	2
GPALN_007584	2
GPALN_007606	2
GPALN_007647	2
GPALN_007663	2
GPALN_007697	2
GPALN_007729	2
GPALN_007731	2
GPALN_007740	2
GPALN_007795	2
GPALN_007838	2
GPALN_007850	2
GPALN_007884	2
GPALN_007916	2
GPALN_007934	2
GPALN_008100	2
GPALN_008102	2
GPALN_008112	2
GPALN_008126	2
GPALN_008144	2
GPALN_008145	2
GPALN_008152	2
GPALN_008370	2
GPALN_008431	2
GPALN_008666	2
GPALN_008764	2
GPALN_008814	2
GPALN_008816	2
GPALN_009015	2
GPALN_009357	2
GPALN_009509	2
GPALN_009513	2
GPALN_009556	2
GPALN_009568	2
GPALN_009615	2
GPALN_009618	2
GPALN_009625	2
GPALN_009626	2
GPALN_009636	2
GPALN_009638	2
GPALN_009639	2
GPALN_009641	2
GPALN_009650	2
GPALN_009898	2
GPALN_009899	2
GPALN_009901	2
GPALN_009903	2
GPALN_009944	2
GPALN_010067	2
GPALN_010074	2
GPALN_010109	2
GPALN_010126	2
GPALN_010136	2
GPALN_010199	2
GPALN_010298	2
GPALN_010316	2
GPALN_010425	2
GPALN_010458	2
GPALN_010463	2
GPALN_010509	2
GPALN_010520	2
GPALN_010535	2
GPALN_010620	2
GPALN_010642	2
GPALN_010799	2
GPALN_010800	2
GPALN_010823	2
GPALN_010836	2
GPALN_010899	2
GPALN_010907	2
GPALN_010930	2
GPALN_010945	2
GPALN_011179	2
GPALN_011377	2
GPALN_011438	2
GPALN_011456	2
GPALN_011521	2
GPALN_011614	2
GPALN_011636	2
GPALN_011651	2
GPALN_012077	2
GPALN_012152	2
GPALN_012215	2
GPALN_012357	2
GPALN_012410	2
GPALN_012414	2
GPALN_012417	2
GPALN_012511	2
GPALN_012674	2
GPALN_012709	2
GPALN_012829	2
GPALN_012912	2
GPALN_012964	2
GPALN_013039	2
GPALN_013115	2
GPALN_013144	2
GPALN_013149	2
GPALN_013190	2
GPALN_013217	2
GPALN_013233	2
GPALN_013242	2
GPALN_013263	2
GPALN_013264	2
GPALN_013306	2
GPALN_013348	2
GPALN_013385	2
GPALN_013387	2
GPALN_013404	2
GPALN_013480	2
GPALN_013481	2
GPALN_013482	2
GPALN_013535	2
GPALN_013552	2
GPALN_013639	2
GPALN_013662	2
GPALN_013786	2
GPALN_013876	2
GPALN_013913	2
GPALN_013923	2
GPALN_014019	2
GPALN_014122	2
GPALN_014171	2
GPALN_014172	2
GPALN_014232	2
GPALN_014237	2
GPALN_014329	2
GPALN_014479	2
GPALN_014549	2
GPALN_014706	2
GPALN_014730	2
GPALN_014799	2
GPALN_014800	2
GPALN_014870	2
GPALN_014885	2
GPALN_014897	2
GPALN_014919	2
GPALN_014929	2
GPALN_014931	2
GPALN_014935	2
GPALN_014952	2
GPALN_015155	2
GPALN_015177	2
GPALN_015258	2
GPALN_015267	2
GPALN_015291	2
GPALN_015300	2
GPALN_015323	2
GPALN_015324	2
GPALN_015354	2
GPALN_015381	2
GPALN_015542	2
GPALN_015600	2
GPALN_015681	2
GPALN_015696	2
GPALN_015790	2
GPALN_015875	2
GPALN_016055	2
GPALN_016153	2
GPALN_016157	2
GPALN_016201	2
GPALN_016212	2
GPALN_016270	2
GPALN_016341	2
GPALN_016347	2
GPALN_016349	2
GPALN_016387	2
GPALN_000017	1
GPALN_000111	1
GPALN_000123	1
GPALN_000125	1
GPALN_000153	1
GPALN_000157	1
GPALN_000162	1
GPALN_000163	1
GPALN_000164	1
GPALN_000171	1
GPALN_000179	1
GPALN_000253	1
GPALN_000265	1
GPALN_000323	1
GPALN_000362	1
GPALN_000371	1
GPALN_000397	1
GPALN_000430	1
GPALN_000438	1
GPALN_000455	1
GPALN_000469	1
GPALN_000484	1
GPALN_000514	1
GPALN_000527	1
GPALN_000536	1
GPALN_000537	1
GPALN_000538	1
GPALN_000541	1
GPALN_000556	1
GPALN_000562	1
GPALN_000566	1
GPALN_000568	1
GPALN_000569	1
GPALN_000668	1
GPALN_000742	1
GPALN_000778	1
GPALN_000894	1
GPALN_000922	1
GPALN_000953	1
GPALN_000982	1
GPALN_001004	1
GPALN_001008	1
GPALN_001094	1
GPALN_001101	1
GPALN_001111	1
GPALN_001131	1
GPALN_001147	1
GPALN_001162	1
GPALN_001179	1
GPALN_001190	1
GPALN_001202	1
GPALN_001207	1
GPALN_001211	1
GPALN_001224	1
GPALN_001251	1
GPALN_001352	1
GPALN_001356	1
GPALN_001405	1
GPALN_001443	1
GPALN_001475	1
GPALN_001501	1
GPALN_001505	1
GPALN_001530	1
GPALN_001590	1
GPALN_001628	1
GPALN_001643	1
GPALN_001647	1
GPALN_001753	1
GPALN_001759	1
GPALN_001780	1
GPALN_001874	1
GPALN_001887	1
GPALN_001899	1
GPALN_001970	1
GPALN_001972	1
GPALN_001982	1
GPALN_001991	1
GPALN_002043	1
GPALN_002052	1
GPALN_002080	1
GPALN_002162	1
GPALN_002174	1
GPALN_002179	1
GPALN_002183	1
GPALN_002184	1
GPALN_002192	1
GPALN_002214	1
GPALN_002264	1
GPALN_002312	1
GPALN_002314	1
GPALN_002315	1
GPALN_002318	1
GPALN_002329	1
GPALN_002330	1
GPALN_002345	1
GPALN_002350	1
GPALN_002366	1
GPALN_002377	1
GPALN_002379	1
GPALN_002380	1
GPALN_002382	1
GPALN_002418	1
GPALN_002419	1
GPALN_002422	1
GPALN_002471	1
GPALN_002477	1
GPALN_002482	1
GPALN_002489	1
GPALN_002500	1
GPALN_002515	1
GPALN_002521	1
GPALN_002532	1
GPALN_002542	1
GPALN_002546	1
GPALN_002564	1
GPALN_002605	1
GPALN_002641	1
GPALN_002656	1
GPALN_002674	1
GPALN_002678	1
GPALN_002687	1
GPALN_002690	1
GPALN_002713	1
GPALN_002760	1
GPALN_002784	1
GPALN_002791	1
GPALN_002802	1
GPALN_002861	1
GPALN_002864	1
GPALN_002879	1
GPALN_002883	1
GPALN_002942	1
GPALN_002955	1
GPALN_002958	1
GPALN_002960	1
GPALN_002965	1
GPALN_003040	1
GPALN_003055	1
GPALN_003075	1
GPALN_003091	1
GPALN_003141	1
GPALN_003143	1
GPALN_003176	1
GPALN_003177	1
GPALN_003182	1
GPALN_003192	1
GPALN_003217	1
GPALN_003264	1
GPALN_003301	1
GPALN_003308	1
GPALN_003329	1
GPALN_003334	1
GPALN_003340	1
GPALN_003370	1
GPALN_003375	1
GPALN_003380	1
GPALN_003398	1
GPALN_003409	1
GPALN_003420	1
GPALN_003436	1
GPALN_003440	1
GPALN_003442	1
GPALN_003463	1
GPALN_003480	1
GPALN_003488	1
GPALN_003557	1
GPALN_003566	1
GPALN_003588	1
GPALN_003621	1
GPALN_003643	1
GPALN_003683	1
GPALN_003711	1
GPALN_003719	1
GPALN_003741	1
GPALN_003752	1
GPALN_003757	1
GPALN_003769	1
GPALN_003771	1
GPALN_003773	1
GPALN_003797	1
GPALN_003803	1
GPALN_003824	1
GPALN_003826	1
GPALN_003828	1
GPALN_003835	1
GPALN_003836	1
GPALN_003850	1
GPALN_003851	1
GPALN_003852	1
GPALN_003855	1
GPALN_003873	1
GPALN_003906	1
GPALN_003910	1
GPALN_003911	1
GPALN_003917	1
GPALN_003941	1
GPALN_003943	1
GPALN_003946	1
GPALN_003950	1
GPALN_003956	1
GPALN_003959	1
GPALN_003961	1
GPALN_003971	1
GPALN_003999	1
GPALN_004008	1
GPALN_004009	1
GPALN_004014	1
GPALN_004020	1
GPALN_004031	1
GPALN_004050	1
GPALN_004065	1
GPALN_004092	1
GPALN_004098	1
GPALN_004107	1
GPALN_004119	1
GPALN_004151	1
GPALN_004166	1
GPALN_004167	1
GPALN_004194	1
GPALN_004195	1
GPALN_004203	1
GPALN_004209	1
GPALN_004224	1
GPALN_004275	1
GPALN_004288	1
GPALN_004308	1
GPALN_004316	1
GPALN_004342	1
GPALN_004347	1
GPALN_004349	1
GPALN_004350	1
GPALN_004370	1
GPALN_004371	1
GPALN_004382	1
GPALN_004414	1
GPALN_004418	1
GPALN_004445	1
GPALN_004447	1
GPALN_004458	1
GPALN_004470	1
GPALN_004479	1
GPALN_004493	1
GPALN_004497	1
GPALN_004498	1
GPALN_004506	1
GPALN_004515	1
GPALN_004568	1
GPALN_004570	1
GPALN_004585	1
GPALN_004597	1
GPALN_004602	1
GPALN_004604	1
GPALN_004610	1
GPALN_004645	1
GPALN_004651	1
GPALN_004668	1
GPALN_004676	1
GPALN_004689	1
GPALN_004709	1
GPALN_004729	1
GPALN_004736	1
GPALN_004747	1
GPALN_004758	1
GPALN_004763	1
GPALN_004770	1
GPALN_004782	1
GPALN_004800	1
GPALN_004807	1
GPALN_004810	1
GPALN_004816	1
GPALN_004818	1
GPALN_004824	1
GPALN_004868	1
GPALN_004876	1
GPALN_004879	1
GPALN_004930	1
GPALN_004977	1
GPALN_004986	1
GPALN_005024	1
GPALN_005049	1
GPALN_005081	1
GPALN_005087	1
GPALN_005090	1
GPALN_005109	1
GPALN_005113	1
GPALN_005114	1
GPALN_005133	1
GPALN_005140	1
GPALN_005158	1
GPALN_005177	1
GPALN_005181	1
GPALN_005185	1
GPALN_005189	1
GPALN_005198	1
GPALN_005209	1
GPALN_005211	1
GPALN_005230	1
GPALN_005234	1
GPALN_005237	1
GPALN_005263	1
GPALN_005299	1
GPALN_005309	1
GPALN_005326	1
GPALN_005349	1
GPALN_005393	1
GPALN_005399	1
GPALN_005416	1
GPALN_005462	1
GPALN_005538	1
GPALN_005553	1
GPALN_005571	1
GPALN_005591	1
GPALN_005613	1
GPALN_005628	1
GPALN_005712	1
GPALN_005725	1
GPALN_005736	1
GPALN_005741	1
GPALN_005750	1
GPALN_005753	1
GPALN_005754	1
GPALN_005765	1
GPALN_005766	1
GPALN_005773	1
GPALN_005777	1
GPALN_005802	1
GPALN_005820	1
GPALN_005829	1
GPALN_005889	1
GPALN_005915	1
GPALN_005918	1
GPALN_005924	1
GPALN_005927	1
GPALN_005928	1
GPALN_006005	1
GPALN_006023	1
GPALN_006027	1
GPALN_006030	1
GPALN_006034	1
GPALN_006047	1
GPALN_006072	1
GPALN_006086	1
GPALN_006112	1
GPALN_006201	1
GPALN_006216	1
GPALN_006283	1
GPALN_006294	1
GPALN_006313	1
GPALN_006338	1
GPALN_006346	1
GPALN_006384	1
GPALN_006401	1
GPALN_006424	1
GPALN_006486	1
GPALN_006490	1
GPALN_006575	1
GPALN_006578	1
GPALN_006588	1
GPALN_006589	1
GPALN_006590	1
GPALN_006594	1
GPALN_006598	1
GPALN_006613	1
GPALN_006623	1
GPALN_006629	1
GPALN_006631	1
GPALN_006716	1
GPALN_006720	1
GPALN_006726	1
GPALN_006727	1
GPALN_006731	1
GPALN_006748	1
GPALN_006778	1
GPALN_006839	1
GPALN_006866	1
GPALN_006886	1
GPALN_006907	1
GPALN_006932	1
GPALN_006949	1
GPALN_006951	1
GPALN_007023	1
GPALN_007033	1
GPALN_007039	1
GPALN_007049	1
GPALN_007059	1
GPALN_007060	1
GPALN_007070	1
GPALN_007073	1
GPALN_007077	1
GPALN_007082	1
GPALN_007083	1
GPALN_007114	1
GPALN_007123	1
GPALN_007132	1
GPALN_007134	1
GPALN_007188	1
GPALN_007194	1
GPALN_007196	1
GPALN_007200	1
GPALN_007201	1
GPALN_007202	1
GPALN_007217	1
GPALN_007218	1
GPALN_007220	1
GPALN_007222	1
GPALN_007259	1
GPALN_007270	1
GPALN_007293	1
GPALN_007295	1
GPALN_007332	1
GPALN_007365	1
GPALN_007371	1
GPALN_007372	1
GPALN_007374	1
GPALN_007376	1
GPALN_007380	1
GPALN_007386	1
GPALN_007388	1
GPALN_007409	1
GPALN_007416	1
GPALN_007429	1
GPALN_007433	1
GPALN_007443	1
GPALN_007464	1
GPALN_007467	1
GPALN_007468	1
GPALN_007532	1
GPALN_007536	1
GPALN_007549	1
GPALN_007556	1
GPALN_007557	1
GPALN_007560	1
GPALN_007561	1
GPALN_007568	1
GPALN_007578	1
GPALN_007622	1
GPALN_007627	1
GPALN_007639	1
GPALN_007648	1
GPALN_007683	1
GPALN_007685	1
GPALN_007696	1
GPALN_007704	1
GPALN_007711	1
GPALN_007719	1
GPALN_007720	1
GPALN_007796	1
GPALN_007805	1
GPALN_007845	1
GPALN_007851	1
GPALN_007859	1
GPALN_007862	1
GPALN_007864	1
GPALN_007871	1
GPALN_007886	1
GPALN_007900	1
GPALN_007921	1
GPALN_007947	1
GPALN_007981	1
GPALN_007995	1
GPALN_008002	1
GPALN_008016	1
GPALN_008042	1
GPALN_008078	1
GPALN_008079	1
GPALN_008081	1
GPALN_008082	1
GPALN_008083	1
GPALN_008086	1
GPALN_008088	1
GPALN_008089	1
GPALN_008097	1
GPALN_008098	1
GPALN_008104	1
GPALN_008105	1
GPALN_008106	1
GPALN_008107	1
GPALN_008110	1
GPALN_008111	1
GPALN_008130	1
GPALN_008132	1
GPALN_008135	1
GPALN_008141	1
GPALN_008149	1
GPALN_008150	1
GPALN_008151	1
GPALN_008232	1
GPALN_008245	1
GPALN_008251	1
GPALN_008379	1
GPALN_008444	1
GPALN_008449	1
GPALN_008511	1
GPALN_008542	1
GPALN_008553	1
GPALN_008597	1
GPALN_008643	1
GPALN_008646	1
GPALN_008745	1
GPALN_008771	1
GPALN_008783	1
GPALN_008791	1
GPALN_008820	1
GPALN_008852	1
GPALN_008881	1
GPALN_008886	1
GPALN_008908	1
GPALN_008914	1
GPALN_009008	1
GPALN_009094	1
GPALN_009156	1
GPALN_009217	1
GPALN_009233	1
GPALN_009291	1
GPALN_009314	1
GPALN_009374	1
GPALN_009379	1
GPALN_009380	1
GPALN_009402	1
GPALN_009406	1
GPALN_009431	1
GPALN_009437	1
GPALN_009441	1
GPALN_009443	1
GPALN_009466	1
GPALN_009477	1
GPALN_009490	1
GPALN_009502	1
GPALN_009512	1
GPALN_009537	1
GPALN_009573	1
GPALN_009582	1
GPALN_009583	1
GPALN_009584	1
GPALN_009590	1
GPALN_009593	1
GPALN_009609	1
GPALN_009621	1
GPALN_009622	1
GPALN_009627	1
GPALN_009628	1
GPALN_009633	1
GPALN_009637	1
GPALN_009648	1
GPALN_009649	1
GPALN_009669	1
GPALN_009682	1
GPALN_009711	1
GPALN_009731	1
GPALN_009834	1
GPALN_009835	1
GPALN_009839	1
GPALN_009848	1
GPALN_009860	1
GPALN_009872	1
GPALN_009886	1
GPALN_009892	1
GPALN_009893	1
GPALN_009896	1
GPALN_009906	1
GPALN_009909	1
GPALN_009911	1
GPALN_009953	1
GPALN_010073	1
GPALN_010096	1
GPALN_010118	1
GPALN_010120	1
GPALN_010127	1
GPALN_010137	1
GPALN_010140	1
GPALN_010148	1
GPALN_010166	1
GPALN_010180	1
GPALN_010255	1
GPALN_010297	1
GPALN_010313	1
GPALN_010330	1
GPALN_010346	1
GPALN_010388	1
GPALN_010391	1
GPALN_010393	1
GPALN_010403	1
GPALN_010413	1
GPALN_010414	1
GPALN_010416	1
GPALN_010417	1
GPALN_010420	1
GPALN_010424	1
GPALN_010427	1
GPALN_010444	1
GPALN_010449	1
GPALN_010457	1
GPALN_010510	1
GPALN_010511	1
GPALN_010519	1
GPALN_010524	1
GPALN_010540	1
GPALN_010552	1
GPALN_010570	1
GPALN_010571	1
GPALN_010582	1
GPALN_010583	1
GPALN_010586	1
GPALN_010593	1
GPALN_010598	1
GPALN_010599	1
GPALN_010629	1
GPALN_010639	1
GPALN_010643	1
GPALN_010645	1
GPALN_010650	1
GPALN_010685	1
GPALN_010710	1
GPALN_010720	1
GPALN_010727	1
GPALN_010735	1
GPALN_010794	1
GPALN_010795	1
GPALN_010801	1
GPALN_010809	1
GPALN_010824	1
GPALN_010828	1
GPALN_010829	1
GPALN_010833	1
GPALN_010861	1
GPALN_010883	1
GPALN_010885	1
GPALN_010889	1
GPALN_010904	1
GPALN_010933	1
GPALN_010943	1
GPALN_010962	1
GPALN_011005	1
GPALN_011013	1
GPALN_011030	1
GPALN_011036	1
GPALN_011109	1
GPALN_011124	1
GPALN_011139	1
GPALN_011159	1
GPALN_011160	1
GPALN_011172	1
GPALN_011197	1
GPALN_011209	1
GPALN_011220	1
GPALN_011230	1
GPALN_011305	1
GPALN_011335	1
GPALN_011375	1
GPALN_011376	1
GPALN_011385	1
GPALN_011396	1
GPALN_011436	1
GPALN_011437	1
GPALN_011444	1
GPALN_011455	1
GPALN_011458	1
GPALN_011495	1
GPALN_011496	1
GPALN_011506	1
GPALN_011531	1
GPALN_011543	1
GPALN_011546	1
GPALN_011556	1
GPALN_011615	1
GPALN_011617	1
GPALN_011621	1
GPALN_011626	1
GPALN_011627	1
GPALN_011634	1
GPALN_011638	1
GPALN_011649	1
GPALN_011652	1
GPALN_011660	1
GPALN_011673	1
GPALN_011705	1
GPALN_011720	1
GPALN_011731	1
GPALN_011766	1
GPALN_011804	1
GPALN_011857	1
GPALN_011867	1
GPALN_011884	1
GPALN_011894	1
GPALN_011957	1
GPALN_012005	1
GPALN_012021	1
GPALN_012025	1
GPALN_012096	1
GPALN_012099	1
GPALN_012113	1
GPALN_012124	1
GPALN_012150	1
GPALN_012186	1
GPALN_012189	1
GPALN_012205	1
GPALN_012232	1
GPALN_012285	1
GPALN_012293	1
GPALN_012294	1
GPALN_012297	1
GPALN_012298	1
GPALN_012299	1
GPALN_012302	1
GPALN_012358	1
GPALN_012369	1
GPALN_012406	1
GPALN_012409	1
GPALN_012412	1
GPALN_012435	1
GPALN_012457	1
GPALN_012465	1
GPALN_012489	1
GPALN_012513	1
GPALN_012550	1
GPALN_012580	1
GPALN_012619	1
GPALN_012634	1
GPALN_012637	1
GPALN_012641	1
GPALN_012664	1
GPALN_012703	1
GPALN_012732	1
GPALN_012762	1
GPALN_012791	1
GPALN_012803	1
GPALN_012821	1
GPALN_012839	1
GPALN_012841	1
GPALN_012854	1
GPALN_012873	1
GPALN_012894	1
GPALN_012921	1
GPALN_012947	1
GPALN_012986	1
GPALN_013005	1
GPALN_013064	1
GPALN_013082	1
GPALN_013107	1
GPALN_013108	1
GPALN_013128	1
GPALN_013168	1
GPALN_013204	1
GPALN_013230	1
GPALN_013247	1
GPALN_013272	1
GPALN_013273	1
GPALN_013295	1
GPALN_013296	1
GPALN_013349	1
GPALN_013356	1
GPALN_013366	1
GPALN_013415	1
GPALN_013421	1
GPALN_013463	1
GPALN_013464	1
GPALN_013490	1
GPALN_013509	1
GPALN_013528	1
GPALN_013531	1
GPALN_013538	1
GPALN_013555	1
GPALN_013571	1
GPALN_013594	1
GPALN_013630	1
GPALN_013637	1
GPALN_013676	1
GPALN_013682	1
GPALN_013702	1
GPALN_013712	1
GPALN_013749	1
GPALN_013816	1
GPALN_013819	1
GPALN_013831	1
GPALN_013939	1
GPALN_013941	1
GPALN_013946	1
GPALN_013983	1
GPALN_013990	1
GPALN_014002	1
GPALN_014006	1
GPALN_014028	1
GPALN_014032	1
GPALN_014033	1
GPALN_014034	1
GPALN_014038	1
GPALN_014052	1
GPALN_014061	1
GPALN_014068	1
GPALN_014070	1
GPALN_014076	1
GPALN_014087	1
GPALN_014103	1
GPALN_014121	1
GPALN_014126	1
GPALN_014147	1
GPALN_014150	1
GPALN_014168	1
GPALN_014189	1
GPALN_014240	1
GPALN_014292	1
GPALN_014294	1
GPALN_014304	1
GPALN_014320	1
GPALN_014334	1
GPALN_014341	1
GPALN_014350	1
GPALN_014352	1
GPALN_014397	1
GPALN_014403	1
GPALN_014408	1
GPALN_014416	1
GPALN_014503	1
GPALN_014523	1
GPALN_014529	1
GPALN_014530	1
GPALN_014539	1
